Age,Age_Group,Gender,Country,City,Membership_Years,Membership_Length,Login_Frequency,Login_Levels,Session_Duration_Avg,Pages_Per_Session,Cart_Abandonment_Rate,Wishlist_Items,Total_Purchases,Average_Order_Value,Days_Since_Last_Purchase,Discount_Usage_Rate,Discount_Usage_Tiers,Returns_Rate,Email_Open_Rate,Customer_Service_Calls,Product_Reviews_Written,Social_Media_Engagement_Score,Mobile_App_Usage,Payment_Method_Diversity,Lifetime_Value,Lifetime_Value_Levels,Credit_Balance,Churned,Signup_Quarter
28,"Early Career (25-34)",Male,UK,Birmingham,0.4,"< 1 year",18,"Moderate Activity",28.9,9.3,37.5,6,92,122.63,16,30.80,"Moderate Discount Usage",99.62,13.9,8,4,17.0,28.4,4,2042.78,"Core Value",260,1,"Q1"
18,"Young Adults (18-24)",Male,USA,Houston,0.2,"< 1 year",5,"Low Activity",19.2,7.6,61.5,4,91,144.46,50,82.50,"Deal Dependent",99.22,21.4,3,2,16.3,9.3,2,988.38,"Emerging Value",45,0,"Q3"
19,"Young Adults (18-24)",Male,UK,London,0.3,"< 1 year",3,"Very Low Activity",30.6,4.8,49.6,2,73,180.04,2,30.00,"Moderate Discount Usage",98.89,13.6,2,3,25.0,17.7,2,1819.37,"Core Value",836,0,"Q1"
30,"Early Career (25-34)",Male,UK,Glasgow,0.2,"< 1 year",13,"Moderate Activity",40.0,12.4,55.9,10,68,168.63,7,15.96,"Low Discount Usage",98.67,14.0,5,5,51.4,33.2,2,3209.91,"High Value",2896,0,"Q4"
18,"Young Adults (18-24)",Male,USA,"New York",0.3,"< 1 year",5,"Low Activity",7.4,8.3,59.7,1,118,93.06,29,33.12,"Moderate Discount Usage",98.67,10.1,6,1,NULL,11.9,4,411.93,"Emerging Value",1835,1,"Q4"
18,"Young Adults (18-24)",Male,UK,Glasgow,0.2,"< 1 year",15,"Moderate Activity",16.5,7.5,53.6,5,85,120.71,12,23.30,"Moderate Discount Usage",98.46,4.9,7,0,0.0,20.3,4,1338.17,"Core Value",1442,1,"Q2"
39,"Middle Age (35-44)",Female,Canada,Toronto,0.4,"< 1 year",15,"Moderate Activity",23.8,9.7,60.5,4,55,99.78,0,71.90,"High Discount Usage",98.44,23.9,7,1,0.5,18.9,2,2496.35,"Core Value",1654,1,"Q2"
33,"Early Career (25-34)",Female,Germany,Munich,0.2,"< 1 year",14,"Moderate Activity",28.5,10.6,42.4,3,75,72.44,2,52.20,"High Discount Usage",97.66,24.5,5,4,NULL,21.5,4,1469.88,"Core Value",NULL,0,"Q3"
37,"Middle Age (35-44)",Female,India,Delhi,0.3,"< 1 year",13,"Moderate Activity",26.0,9.6,51.7,4,109,109.34,NULL,72.60,"High Discount Usage",97.63,8.6,8,1,25.3,NULL,1,863.08,"Emerging Value",0,0,"Q4"
39,"Middle Age (35-44)",Male,USA,"Los Angeles",0.2,"< 1 year",6,"Low Activity",36.4,11.1,46.5,8,93,137.45,24,3.50,"Low Discount Usage",97.38,21.2,6,5,36.5,NULL,2,1222.25,"Core Value",2718,0,"Q3"
45,"Established (45-54)",Male,UK,Leeds,0.5,"< 1 year",16,"Moderate Activity",31.4,9.1,60.6,5,91,111.82,81,54.10,"High Discount Usage",97.22,14.8,5,6,26.3,17.5,1,1776.66,"Core Value",1451,0,"Q1"
49,"Established (45-54)",Female,India,Mumbai,0.3,"< 1 year",8,"Low Activity",25.0,7.7,60.7,6,61,79.53,7,18.50,"Low Discount Usage",97.16,35.1,10,1,45.8,10.1,1,884.27,"Emerging Value",1650,0,"Q2"
46,"Established (45-54)",Male,USA,Houston,0.2,"< 1 year",15,"Moderate Activity",22.4,8.7,35.1,3,68,128.48,28,22.80,"Moderate Discount Usage",96.88,31.0,7,6,6.6,14.8,1,1577.06,"Core Value",2315,0,"Q1"
41,"Middle Age (35-44)",Female,Germany,Munich,0.4,"< 1 year",21,"Moderate Activity",31.1,5.5,72.3,7,80,71.84,12,36.72,"Moderate Discount Usage",96.40,1.9,6,5,37.1,27.7,2,740.79,"Emerging Value",NULL,0,"Q4"
NULL,Unknown,Male,USA,Chicago,0.3,"< 1 year",14,"Moderate Activity",NULL,10.9,62.8,8,77,79.71,12,35.60,"Moderate Discount Usage",96.34,19.5,2,1,32.7,22.3,2,875.78,"Emerging Value",906,0,"Q3"
